Property Type,Bedrooms,Bathrooms,Car Spaces,Land Size (sqm),Price ($),Year Built,Floor Size (sqm),Garage,Has Pool
Studio,1,2,3,152,1549960,2017,229,Yes,Yes
Studio,6,4,3,983,758902,2001,304,No,Yes
Studio,7,2,3,975,1414029,2006,408,Yes,No
Loft,4,1,4,458,90581,1974,181,Yes,Yes
Duplex,5,3,1,300,123731,1997,296,No,No
Studio,6,5,2,953,1892801,2023,366,Yes,Yes
Duplex,4,2,3,696,1534202,2008,209,No,No
Apartment,6,1,4,135,990560,2015,286,No,Yes
Mansion,5,1,2,286,525242,1985,390,Yes,No
Apartment,2,1,3,754,1858475,2009,479,No,Yes
Villa,6,2,1,616,1721170,1981,226,Yes,Yes
Villa,4,2,3,363,1026669,1958,330,Yes,Yes
Penthouse,2,2,2,587,445583,1990,413,Yes,Yes
Mansion,4,3,2,969,1312970,2007,239,No,Yes
Mansion,3,4,2,737,760665,1950,84,Yes,Yes
Apartment,2,2,1,563,880821,1982,104,No,No
Cottage,3,4,0,678,675221,1982,108,No,No
Penthouse,4,5,2,412,871569,1964,135,No,No
Studio,1,3,2,622,614406,2000,43,Yes,Yes
Duplex,7,4,1,458,1112038,2012,74,Yes,No
Mansion,3,1,2,307,51935,2000,306,No,No
Townhouse,3,1,2,246,96907,1963,75,Yes,Yes
Villa,7,2,3,632,522135,1953,171,Yes,Yes
Studio,4,1,2,876,349411,1992,157,Yes,Yes
Apartment,1,3,0,257,350931,1979,291,Yes,Yes
Apartment,2,3,4,252,929470,1975,373,Yes,Yes
House,5,1,4,643,924011,2000,309,No,No
Cottage,1,5,4,426,511775,1976,281,No,Yes
Apartment,1,4,2,158,1186631,1988,166,No,Yes
Penthouse,4,1,2,276,1430713,1953,330,No,Yes
Cottage,3,3,2,415,1636944,1974,466,No,No
Mansion,2,3,4,499,877073,1993,262,No,Yes
Duplex,3,2,3,615,898092,1957,448,Yes,No
House,6,4,2,257,1649354,1992,339,Yes,No
House,2,2,0,596,1085930,1980,221,Yes,Yes
Loft,6,3,2,671,1818387,1985,357,No,No
Townhouse,5,3,1,653,568939,1959,142,No,Yes
Duplex,5,1,3,767,119438,1955,403,Yes,Yes
Duplex,2,4,0,520,1769074,1983,335,No,Yes
Loft,4,3,1,952,1983566,1984,129,No,No
Studio,1,4,0,976,597211,1955,161,Yes,Yes
Mansion,7,2,0,907,595363,1957,110,Yes,Yes
House,7,4,2,536,1278440,1956,492,No,Yes
Mansion,7,5,3,169,988133,1989,145,No,No
Studio,5,1,3,327,824017,1997,299,Yes,Yes
Townhouse,6,4,4,527,943194,2011,66,Yes,No
Loft,2,1,4,426,395611,2009,354,No,No
Townhouse,5,2,2,386,1579422,1952,358,Yes,No
Townhouse,3,5,0,111,528935,1996,358,Yes,Yes
Loft,4,4,0,481,1482446,2011,99,No,No
Mansion,5,5,1,964,1113658,1989,109,No,Yes
Studio,5,3,4,523,1700520,1974,457,Yes,No
Villa,5,3,4,553,179070,1992,360,No,Yes
Studio,5,1,4,522,296305,1958,276,Yes,No
Penthouse,1,4,0,531,931010,2000,277,No,No
Villa,3,4,1,353,740446,1975,277,No,No
Cottage,1,2,2,755,1573018,1990,226,No,No
Mansion,5,2,3,963,511514,1958,343,Yes,No
Studio,2,3,4,760,246813,1976,251,Yes,Yes
Villa,5,2,1,932,937883,2022,274,No,No
Apartment,1,4,2,285,1768293,1997,205,No,Yes
House,2,3,2,626,771329,1982,385,No,No
Duplex,7,4,1,661,838071,1985,389,Yes,No
Cottage,7,5,2,816,1048465,2012,324,No,No
Townhouse,2,3,2,902,1308009,1996,154,No,No
Villa,6,4,3,700,599813,1990,92,No,No
Penthouse,1,5,4,437,1070341,1967,401,Yes,Yes
House,1,3,3,265,1969189,1962,209,Yes,No
Studio,3,4,0,367,780719,2008,198,Yes,No
Cottage,2,4,4,582,411794,1980,121,Yes,Yes
Studio,1,4,2,656,1845822,1974,92,Yes,Yes
Penthouse,1,3,2,263,1266001,1954,449,Yes,No
Apartment,3,4,1,659,388634,1992,161,Yes,Yes
Penthouse,7,1,3,718,1159024,1978,220,No,Yes
Duplex,5,4,4,291,154069,1999,119,No,No
Duplex,2,3,1,723,661463,1989,278,No,No
Cottage,5,3,3,225,275154,1952,55,Yes,No
Studio,4,3,3,185,1968229,1971,137,Yes,Yes
Cottage,1,2,4,230,126154,2017,88,Yes,No
Townhouse,6,1,1,595,1315619,1961,305,No,No
Villa,5,5,3,778,1757267,1960,128,No,No
Townhouse,4,5,1,560,1296480,1985,467,Yes,Yes
Cottage,3,4,1,602,1771328,2000,60,No,Yes
Studio,4,2,1,882,1728164,1950,368,No,Yes
Villa,5,1,4,494,1794623,2007,211,Yes,No
Apartment,3,4,2,354,1394695,2011,353,No,Yes
Duplex,3,1,1,802,525126,1951,168,No,No
Mansion,3,2,4,978,1150944,1961,203,Yes,No
Studio,7,4,3,761,1143263,1983,419,Yes,No
Duplex,6,4,4,216,492782,1950,315,No,No
Studio,6,1,4,499,876896,1969,392,No,No
Mansion,4,4,3,555,757296,2002,83,No,No
Cottage,7,3,3,239,1217129,2012,206,No,Yes
Apartment,3,1,2,271,620716,1980,191,No,Yes
Studio,1,4,2,191,639337,1950,251,No,No
Duplex,2,1,2,233,607280,1976,416,Yes,No
Cottage,2,4,3,768,1652722,1963,48,No,No
Duplex,2,1,3,961,841381,1997,304,Yes,No
Studio,4,4,4,379,906465,1976,336,Yes,No
Townhouse,5,5,2,144,1534007,1980,54,No,Yes
House,5,4,2,595,1522844,1993,232,No,No
Apartment,7,3,3,557,670457,2001,40,Yes,Yes
Apartment,4,3,4,893,1841274,2000,469,Yes,Yes
Cottage,1,3,2,788,561726,1963,315,No,Yes
Apartment,5,4,4,826,1704926,1988,128,No,No
Duplex,6,2,2,205,1663464,1997,172,Yes,No
Villa,6,5,0,508,301192,1995,171,Yes,Yes
Mansion,1,5,4,516,77686,1968,440,Yes,No
Mansion,1,1,0,685,1792668,1953,101,Yes,No
Townhouse,4,1,0,882,1581778,2006,426,No,Yes
Loft,2,1,2,535,1978492,2000,359,Yes,No
Villa,3,2,1,106,959023,1970,189,Yes,Yes
Loft,3,2,0,785,793523,2005,57,Yes,No
Duplex,5,1,4,823,818840,1980,491,Yes,No
Studio,4,4,2,670,1974324,2016,478,Yes,No
Duplex,3,1,1,838,523760,1995,460,Yes,Yes
Studio,2,1,1,548,782910,1965,255,Yes,No
Mansion,7,2,1,434,1425061,2000,486,No,No
Cottage,7,4,4,598,263290,1969,274,Yes,Yes
House,1,3,2,1000,1747469,2013,189,Yes,No
Cottage,5,1,2,624,1978096,2006,487,Yes,No
Loft,1,1,3,871,227157,1965,488,No,Yes
Villa,1,2,1,979,975251,1958,222,No,Yes
Loft,5,2,0,443,186735,1999,359,No,No
Townhouse,5,4,3,360,1441141,1952,393,No,Yes
Penthouse,4,1,4,651,1744296,2005,405,No,No
Villa,6,1,2,428,1521532,1951,166,No,Yes
Villa,7,4,3,141,1198770,2019,256,Yes,No
Mansion,7,5,1,820,322068,1955,195,No,Yes
Villa,7,1,3,156,1051566,1954,59,Yes,No
Penthouse,6,5,0,129,392081,1991,391,Yes,Yes
Duplex,2,3,1,980,1661278,2021,279,Yes,No
Penthouse,1,5,3,368,947937,1962,422,Yes,Yes
Apartment,7,5,4,978,534781,1968,334,Yes,Yes
Cottage,4,2,0,889,317702,1956,428,Yes,No
House,6,1,3,969,540620,1977,494,Yes,No
House,6,5,3,344,590878,1980,346,Yes,Yes
Loft,3,2,2,586,1148893,1985,325,No,Yes
Penthouse,3,4,2,100,407839,1976,239,Yes,Yes
Townhouse,4,1,0,287,605692,2015,331,No,No
House,5,5,4,486,221591,1980,459,Yes,No
Loft,5,2,3,936,1052569,2001,191,Yes,No
Duplex,5,2,3,110,999115,1957,473,Yes,No
Apartment,1,2,3,465,1649801,1985,135,Yes,Yes
Studio,2,2,3,726,1849349,1995,196,No,Yes
Townhouse,6,4,0,321,373824,1977,325,Yes,Yes
Duplex,1,3,3,158,1195701,1990,355,Yes,Yes
Apartment,5,1,0,458,1105603,1991,216,Yes,Yes
Apartment,3,5,0,533,436553,2005,92,Yes,No
Penthouse,7,3,3,551,1956278,2021,344,Yes,Yes
Penthouse,3,2,1,588,70250,1960,299,Yes,No
Villa,1,2,1,973,445882,1971,324,No,No
Duplex,5,3,4,310,1700043,1995,190,Yes,Yes
House,2,1,3,949,1892220,2016,58,No,No
Villa,3,2,1,653,1296686,1953,75,No,No
Villa,6,3,0,311,418529,2013,468,No,No
Studio,5,2,1,866,1354596,1970,133,Yes,Yes
Loft,5,5,2,560,1945221,2017,330,Yes,Yes
Mansion,2,4,0,335,668099,1993,384,Yes,Yes
Cottage,6,2,2,900,58413,2018,118,No,Yes
Villa,6,4,0,104,1175735,1965,476,No,No
Mansion,6,2,1,536,142310,1995,429,No,No
Cottage,6,1,4,861,1151733,1963,290,Yes,Yes
Loft,4,4,3,912,761776,1954,331,Yes,Yes
Loft,4,3,3,738,1539912,2021,344,Yes,Yes
Loft,6,5,2,985,1932735,2001,302,No,Yes
Duplex,7,1,2,529,895568,1982,126,Yes,Yes
Loft,1,4,3,996,1999566,1958,223,Yes,No
Apartment,1,1,1,857,453297,1977,183,Yes,No
Duplex,3,5,4,929,79786,1983,389,Yes,Yes
Loft,4,4,0,561,1474693,1979,448,No,No
Villa,4,2,3,803,1127830,2014,228,No,Yes
Apartment,6,1,1,706,1527656,2004,74,Yes,Yes
Loft,6,5,0,698,709706,1969,270,No,Yes
Penthouse,3,1,4,572,202491,1979,429,No,No
House,1,2,3,930,1652299,1987,402,Yes,No
Loft,7,3,4,586,1997744,1954,392,Yes,Yes
House,5,2,3,270,1224987,2006,197,Yes,Yes
Mansion,2,2,0,581,1888318,2012,190,Yes,No
Villa,2,3,3,621,1119524,1997,268,No,No
Villa,6,1,2,234,1761139,1966,177,Yes,Yes
Townhouse,2,4,0,762,229988,2001,110,No,No
Penthouse,2,1,4,886,1519346,1957,48,No,Yes
House,3,1,1,792,1144790,1972,105,Yes,No
Studio,4,5,4,952,83987,2000,190,No,No
House,2,3,1,215,1974454,1999,78,No,Yes
Villa,1,2,4,726,1673165,1983,169,Yes,No
Penthouse,5,2,2,608,1624553,1962,318,Yes,Yes
Villa,3,1,1,364,53122,1961,446,Yes,Yes
Apartment,6,3,1,830,1525779,1996,328,Yes,No
Villa,1,4,1,964,1799102,2010,196,Yes,Yes
Townhouse,3,1,4,100,1703368,1952,459,No,No
Townhouse,4,4,0,934,1050597,1952,249,Yes,Yes
Studio,4,1,2,153,889045,2023,186,No,No
House,2,2,3,315,135136,1987,482,No,No
Mansion,1,1,1,960,106109,2017,170,Yes,No
Townhouse,3,2,0,610,1253543,1988,236,No,No
House,7,3,3,588,682702,1967,94,Yes,Yes
Townhouse,5,5,4,270,930877,1989,452,Yes,No
Mansion,1,2,2,650,1236291,1973,379,No,No
